time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current
2.602,0.0,1000,0.0,0,0,0,0
2.609,0.0,1000,0.0,0,0,-24,0
2.617,0.0,1000,0.0,0,0,-24,0
2.626,-6.32,1000,0.0,0,-322,-24,382
2.64,-22.5,1000,0.0,0,-376,-24,376
2.659,-47.1,1000,0.0,0,-585,24,352
2.671,-158.55,1000,0.0,0,-1080,24,291
2.698,-219.02,1000,0.0,0,-611,24,491
2.715,-247.5,1000,0.0,0,174,24,397
2.74,-212.69,1000,0.0,0,581,24,349
2.749,-80.5,1000,0.0,0,1139,-24,286
2.762,37.96,1000,0.0,0,1422,-24,248
2.774,84.02,1000,0.0,0,718,-24,509
2.79,143.96,1000,0.0,0,671,-24,501
2.802,184.57,1000,0.0,0,144,-24,437
2.822,181.05,1000,0.0,0,-218,-24,396
2.832,138.69,1000,0.0,0,-689,-24,339
2.839,67.32,1000,0.0,0,-995,24,300
2.855,10.19,1000,0.0,0,-1174,24,280
2.873,-22.14,1000,0.0,0,-477,24,473
2.885,-85.25,1000,0.0,0,-154,24,437
2.9,-85.25,1000,0.0,0,124,24,402
2.914,-61.34,1000,0.0,0,527,24,354
2.929,-1.58,1000,0.0,0,866,-24,326
2.944,117.94,1000,0.0,0,1231,-24,271
2.959,166.99,1000,0.0,0,686,-24,501
2.975,219.02,1000,0.0,0,375,-24,467
2.99,233.43,1000,0.0,0,58,-24,425
2.998,191.6,1000,0.0,0,-632,-24,345
3.007,165.93,1000,0.0,0,-769,-24,328
3.019,122.51,1000,0.0,0,-944,24,308
3.031,64.68,1000,0.0,0,-1143,24,282
3.044,0.17,1000,0.0,0,-544,24,484
3.054,-22.32,1000,0.0,0,-269,24,448
3.08,-30.58,1000,0.0,0,-59,24,421
3.095,8.78,1000,0.0,0,617,24,344
3.115,116.19,1000,0.0,0,1070,24,290
3.13,213.57,1000,0.0,0,1338,-24,257
3.139,425.56,1000,0.0,0,1716,-24,212
3.146,472.85,1000,0.0,0,921,-24,529
3.159,524.88,1000,0.0,0,999,-24,537
3.171,562.5,1000,0.0,0,520,-24,482
3.184,506.07,1000,0.0,0,-770,-24,321
3.2,442.96,1000,0.0,0,-845,-24,314
3.225,332.75,1000,0.0,0,-1689,24,210
3.243,-5.97,1000,0.0,0,-2773,24,108
3.253,-92.63,1000,0.0,0,829,24,310
3.266,-4.04,1000,0.0,0,1503,24,232
3.279,105.82,1000,0.0,0,1778,-24,194
3.289,266.48,1000,0.0,0,2256,-24,141
3.304,342.94,1000,0.0,0,-130,-24,399
3.319,326.07,1000,0.0,0,-721,-24,335
3.331,131.3,1000,0.0,0,-2125,24,164
3.346,-47.81,1000,0.0,0,-2392,24,128
3.364,-145.19,1000,0.0,0,-413,24,467
3.371,-82.79,1000,0.0,0,727,24,332
3.38,-38.84,1000,0.0,0,1034,24,302
3.396,-2.81,1000,0.0,0,1113,-24,286
3.409,58.53,1000,0.0,0,1287,-24,265
3.424,144.31,1000,0.0,0,566,-24,489
3.439,172.96,1000,0.0,0,191,-24,441
3.456,169.98,1000,0.0,0,-233,-24,390
3.472,103.18,1000,0.0,0,-771,-24,326
3.491,19.68,1000,0.0,0,-1093,24,287
3.506,-106.17,1000,0.0,0,-1411,24,249
3.519,-179.29,1000,0.0,0,-696,24,499
3.533,-169.98,1000,0.0,0,584,24,348
3.553,-110.21,1000,0.0,0,889,24,320
3.566,94.04,1000,0.0,0,1979,-24,172
3.581,216.56,1000,0.0,0,2257,-24,131
3.595,297.59,1000,0.0,0,-807,-24,322
3.605,240.11,1000,0.0,0,-779,-24,338
3.617,184.21,1000,0.0,0,-926,24,310
3.627,140.8,1000,0.0,0,-1031,24,297
3.642,108.1,1000,0.0,0,-448,24,479
3.662,65.21,1000,0.0,0,-139,24,429
3.677,74.35,1000,0.0,0,293,24,379
3.698,132.36,1000,0.0,0,724,24,330
3.712,232.03,1000,0.0,0,1136,-24,282
3.727,373.88,1000,0.0,0,1468,-24,241
3.745,419.40999999999997,1000,0.0,0,742,-24,504
3.765,517.3199999999999,1000,0.0,0,383,-24,464
3.784,531.21,1000,0.0,0,-43,-24,414
3.798,489.72,1000,0.0,0,-653,-24,341
3.813,406.58,1000,0.0,0,-1015,24,298
3.831,316.93,1000,0.0,0,-1265,24,280
3.843,224.64,1000,0.0,0,-533,24,481
3.851,199.86,1000,0.0,0,-138,24,429
3.859,198.8,1000,0.0,0,33,24,410
3.874,206.36,1000,0.0,0,230,24,386
3.885,237.3,1000,0.0,0,602,-24,345
3.897,291.62,1000,0.0,0,879,-24,311
3.914,312.53,1000,0.0,0,306,-24,455
3.926,341.01,1000,0.0,0,50,-24,420
3.938,327.48,1000,0.0,0,-387,-24,371
3.951,293.55,1000,0.0,0,-659,-24,339
3.968,229.57,1000,0.0,0,-952,24,306
3.983,131.48,1000,0.0,0,-1228,24,272
3.996,65.74,1000,0.0,0,-745,24,503
4.011,25.13,1000,0.0,0,-289,24,447
4.032,18.98,1000,0.0,0,99,24,401
4.039,69.78,1000,0.0,0,692,24,332
4.048,121.28,1000,0.0,0,908,-24,309
4.06,160.83,1000,0.0,0,1064,-24,291
4.082,188.08,1000,0.0,0,402,-24,465
4.096,241.52,1000,0.0,0,159,-24,434
4.114,234.49,1000,0.0,0,-304,-24,383
4.121,159.96,1000,0.0,0,-814,-24,320
4.13,113.9,1000,0.0,0,-1000,24,298
4.147,64.16,1000,0.0,0,-1174,24,277
4.16,18.1,1000,0.0,0,-646,24,488
4.177,-31.99,1000,0.0,0,-219,24,440
4.192,-33.92,1000,0.0,0,126,24,397
4.211,16.34,1000,0.0,0,688,24,328
4.227,96.67,1000,0.0,0,1013,-24,290
4.241,224.82,1000,0.0,0,1371,-24,253
4.262,291.79,1000,0.0,0,843,-24,515
4.269,359.47,1000,0.0,0,226,-24,457
4.284,364.92,1000,0.0,0,47,-24,417
4.303,360.35,1000,0.0,0,-186,-24,393
4.318,286.87,1000,0.0,0,-810,-24,320
4.334,202.32,1000,0.0,0,-1122,24,282
4.343,22.14,1000,0.0,0,-1530,24,234
4.358,-16.87,1000,0.0,0,-775,24,503
4.375,-65.91,1000,0.0,0,-992,24,527
4.388,-143.08,1000,0.0,0,-298,24,451
4.408,-152.22,1000,0.0,0,28,24,406
4.426,-97.03,1000,0.0,0,719,24,328
4.443,-23.02,1000,0.0,0,1021,-24,291
4.458,91.93,1000,0.0,0,1321,-24,257
4.486,165.76,1000,0.0,0,819,-24,512
4.5,224.12,1000,0.0,0,78,-24,426
4.515,197.05,1000,0.0,0,-553,-24,377
4.527,144.14,1000,0.0,0,-842,-24,316
4.549,73.82,1000,0.0,0,-1088,24,286
4.561,-90.87,1000,0.0,0,-1477,24,240
4.572,-143.08,1000,0.0,0,-796,24,508
4.586,-213.57,1000,0.0,0,-648,24,488
4.605,-246.62,1000,0.0,0,-253,24,442
4.624,-253.82,1000,0.0,0,38,24,408
4.634,-189.14,1000,0.0,0,780,24,321
4.649,-106.69,1000,0.0,0,1095,-24,283
4.662,-34.1,1000,0.0,0,1285,-24,263
4.682,23.9,1000,0.0,0,748,-24,501
4.691,85.6,1000,0.0,0,166,-24,434
4.699,88.06,1000,0.0,0,-28,-24,412
4.717,75.93,1000,0.0,0,-390,-24,368
4.724,29.17,1000,0.0,0,-729,24,327
4.732,-35.33,1000,0.0,0,-980,24,300
4.754,-58.35,1000,0.0,0,-299,24,448
4.769,-99.14,1000,0.0,0,-228,24,439
4.787,-100.19,1000,0.0,0,198,24,389
4.8,-44.12,1000,0.0,0,635,24,338
4.825,23.9,1000,0.0,0,1039,-24,289
4.838,173.84,1000,0.0,0,1410,-24,247
4.853,270.35,1000,0.0,0,778,-24,509
4.865,317.63,1000,0.0,0,285,-24,486
4.882,325.89,1000,0.0,0,-31,-24,411
4.9,303.92,1000,0.0,0,-427,-24,365
4.917,206.71,1000,0.0,0,-969,24,299
4.933,124.8,1000,0.0,0,-1223,24,271
4.945,60.82,1000,0.0,0,-668,24,489
4.966,22.32,1000,0.0,0,-254,24,439
4.973,25.66,1000,0.0,0,333,24,370
4.989,49.39,1000,0.0,0,593,24,343
5.009,79.45,1000,0.0,0,763,-24,329
5.023,231.15,1000,0.0,0,1271,-24,264
5.051,300.05,1000,0.0,0,747,-24,501
5.068,351.38,1000,0.0,0,159,-24,432
5.085,312.89,1000,0.0,0,-595,-24,345
5.104,260.15,1000,0.0,0,-863,-24,312
5.113,103.88,1000,0.0,0,-1337,24,256
5.128,30.23,1000,0.0,0,-1484,24,238
5.14,-19.68,1000,0.0,0,-784,24,501
5.15,-99.31,1000,0.0,0,-595,24,482
5.164,-129.55,1000,0.0,0,-183,24,433
5.184,-131.83,1000,0.0,0,21,24,407
5.2,-77.87,1000,0.0,0,745,24,324
5.214,-1.75,1000,0.0,0,1052,-24,293
5.228,93.86,1000,0.0,0,1308,-24,257
5.249,150.11,1000,0.0,0,778,-24,505
5.256,221.48,1000,0.0,0,186,-24,437
5.27,223.06,1000,0.0,0,-110,-24,402
5.284,214.27,1000,0.0,0,-301,-24,376
5.296,149.41,1000,0.0,0,-795,24,321
5.311,88.59,1000,0.0,0,-1016,24,293
5.326,56.25,1000,0.0,0,-460,24,463
5.338,13.71,1000,0.0,0,-140,24,425
5.346,18.8,1000,0.0,0,252,24,378
5.354,36.73,1000,0.0,0,495,24,351
5.365,64.68,1000,0.0,0,681,-24,330
5.378,103.0,1000,0.0,0,861,-24,309
5.388,133.06,1000,0.0,0,438,-24,464
5.402,153.45,1000,0.0,0,159,-24,431
5.42,150.11,1000,0.0,0,-228,-24,385
5.436,81.56,1000,0.0,0,-765,-24,323
5.448,17.92,1000,0.0,0,-1027,24,291
5.457,-64.33,1000,0.0,0,-1257,24,262
5.474,-118.82,1000,0.0,0,-687,24,489
5.489,-172.44,1000,0.0,0,-288,24,444
5.498,-181.93,1000,0.0,0,-52,24,412
5.515,-175.07,1000,0.0,0,292,24,376
5.533,-122.87,1000,0.0,0,744,24,324
5.548,-15.29,1000,0.0,0,1144,-24,277
5.564,78.22,1000,0.0,0,1369,-24,249
5.575,174.37,1000,0.0,0,679,-24,492
5.584,203.9,1000,0.0,0,368,-24,454
5.592,216.38,1000,0.0,0,134,-24,448
5.612,216.73,1000,0.0,0,-40,-24,408
5.627,197.57,1000,0.0,0,-506,-24,381
5.639,105.46,1000,0.0,0,-970,24,298
5.662,24.25,1000,0.0,0,-1214,24,269
5.677,-56.6,1000,0.0,0,-542,24,473
5.696,-85.25,1000,0.0,0,-140,24,425
5.714,-61.17,1000,0.0,0,482,24,353
5.728,10.37,1000,0.0,0,893,24,306
5.741,125.5,1000,0.0,0,1245,-24,265
5.753,215.5,1000,0.0,0,1445,-24,240
5.768,279.31,1000,0.0,0,842,-24,514
5.784,336.44,1000,0.0,0,618,-24,494
5.8,371.25,1000,0.0,0,-26,-24,408
5.816,363.86,1000,0.0,0,-178,-24,390
5.83,314.82,1000,0.0,0,-749,24,326
5.845,235.01,1000,0.0,0,-1059,24,289
5.863,176.48,1000,0.0,0,-512,24,469
5.877,152.05,1000,0.0,0,-94,24,419
5.888,169.8,1000,0.0,0,412,24,361
5.91,209.17,1000,0.0,0,704,24,326
5.929,288.8,1000,0.0,0,1031,-24,289
5.946,459.65999999999997,1000,0.0,0,1451,-24,238
5.96,566.01,1000,0.0,0,761,-24,500
5.985,602.05,1000,0.0,0,422,-24,461
6.0,620.5,1000,0.0,0,-35,-24,405
6.02,565.83,1000,0.0,0,-713,-24,326
6.048,474.43,1000,0.0,0,-1074,24,286
6.067,277.2,1000,0.0,0,-1520,24,246
6.081,152.92,1000,0.0,0,-728,24,493
6.099,107.92,1000,0.0,0,-238,24,435
6.108,110.56,1000,0.0,0,370,24,364
6.124,135.0,1000,0.0,0,606,24,342
6.14,204.43,1000,0.0,0,939,-24,298
6.161,286.34,1000,0.0,0,1192,-24,269
6.179,372.48,1000,0.0,0,477,-24,468
6.191,393.39,1000,0.0,0,-134,-24,390
6.203,374.23,1000,0.0,0,-436,-24,361
6.215,328.18,1000,0.0,0,-739,24,325
6.231,271.4,1000,0.0,0,-970,24,297
6.243,225.17,1000,0.0,0,-475,24,466
6.251,203.9,1000,0.0,0,-175,24,426
6.269,201.97,1000,0.0,0,51,24,395
6.289,235.19,1000,0.0,0,559,24,344
6.309,316.75,1000,0.0,0,951,-24,299
6.324,448.06,1000,0.0,0,1316,-24,254
6.338,536.3,1000,0.0,0,703,-24,493
6.349,578.3199999999999,1000,0.0,0,270,-24,443
6.36,584.64,1000,0.0,0,-27,-24,402
6.374,569.7,1000,0.0,0,-392,-24,363
6.382,506.07,1000,0.0,0,-791,24,318
6.39,470.74,1000,0.0,0,-926,24,302
6.402,453.15999999999997,1000,0.0,0,-206,24,431
6.418,433.65,1000,0.0,0,-503,24,465
6.437,405.87,1000,0.0,0,-64,24,414
6.464,428.9,1000,0.0,0,471,24,352
6.484,532.61,1000,0.0,0,997,24,292
6.498,711.9100000000001,1000,0.0,0,1443,-24,240
6.513,864.14,1000,0.0,0,1700,-24,211
6.53,982.79,1000,0.0,0,1005,-24,528
6.549,1023.9200000000001,1000,0.0,0,769,-24,500
6.564,1078.76,1000,0.0,0,74,-24,453
6.574,1061.8899999999999,1000,0.0,0,-295,-24,375
6.587,1017.4200000000001,1000,0.0,0,-796,-24,318
6.602,958.53,1000,0.0,0,-1034,24,290
6.612,870.99,1000,0.0,0,-1265,24,264
6.628,804.72,1000,0.0,0,-832,24,504
6.644,756.38,1000,0.0,0,-356,24,447
6.655,745.31,1000,0.0,0,33,24,399
6.665,763.76,1000,0.0,0,396,24,362
6.682,805.25,1000,0.0,0,708,-24,325
6.694,877.3199999999999,1000,0.0,0,1005,-24,291
6.707,917.05,1000,0.0,0,544,-24,473
6.72,945.87,1000,0.0,0,303,-24,447
6.739,951.67,1000,0.0,0,-165,-24,392
6.752,908.4300000000001,1000,0.0,0,-602,-24,339
6.764,842.87,1000,0.0,0,-939,24,300
6.781,764.47,1000,0.0,0,-1172,24,273
6.796,710.15,1000,0.0,0,-650,24,480
6.804,663.22,1000,0.0,0,-249,24,435
6.812,656.19,1000,0.0,0,-68,24,451
6.834,663.5699999999999,1000,0.0,0,291,24,374
6.847,682.9100000000001,1000,0.0,0,496,24,350
6.858,796.28,1000,0.0,0,1031,-24,286
6.878,886.64,1000,0.0,0,1280,-24,259
