time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current,x_real,"x_est_0, x_est_1, x_est_2",u
2.988,0.0,0,0.0,0,0,0,0,,,
3.004,0.0,0,0.0,0,0,24,0,,,
3.014,0.0,0,0.0,0,0,24,0,,,
3.024,13.88,0,0.0,0,272,24,391,,,
3.038,45.35,0,0.0,0,583,24,350,,,
3.052,89.12,0,0.0,0,831,-24,321,,,
3.065,200.91,0,0.0,0,1207,24,276,,,
3.081,269.64,0,0.0,0,732,-24,515,,,
3.101,332.75,0,0.0,0,897,24,311,,,
3.114,387.42,0,0.0,0,261,-24,459,,,
3.124,447.18,0,0.0,0,521,24,359,,,
3.137,457.03,0,0.0,0,315,-24,462,,,
3.148,512.05,0,0.0,0,494,24,361,,,
3.158,505.37,0,0.0,0,42,-24,475,,,
3.176,562.14,0,0.0,0,945,24,304,,,
3.19,540.35,0,0.0,0,-614,-24,345,,,
3.21,610.31,0,0.0,0,1025,24,296,,,
3.221,572.34,0,0.0,0,-813,-24,317,,,
3.239,563.73,0,0.0,0,247,24,380,,,
3.253,525.41,0,0.0,0,-739,-24,335,,,
3.27,528.92,0,0.0,0,591,24,351,,,
3.283,543.86,0,0.0,0,172,-24,444,,,
3.299,592.2,0,0.0,0,564,24,352,,,
3.305,607.3199999999999,0,0.0,0,254,-24,453,,,
3.314,652.6700000000001,0,0.0,0,502,24,361,,,
3.326,656.01,0,0.0,0,-97,-24,420,,,
3.346,705.05,0,0.0,0,567,24,367,,,
3.359,712.0799999999999,0,0.0,0,269,-24,455,,,
3.372,792.59,0,0.0,0,526,24,357,,,
3.385,817.73,0,0.0,0,365,-24,468,,,
3.398,869.94,0,0.0,0,535,24,356,,,
3.413,874.86,0,0.0,0,224,-24,452,,,
3.422,921.26,0,0.0,0,711,24,334,,,
3.438,890.15,0,0.0,0,-383,-24,375,,,
3.453,939.02,0,0.0,0,1007,24,268,,,
3.462,904.5699999999999,0,0.0,0,-620,-24,352,,,
3.479,936.56,0,0.0,0,1335,24,266,,,
3.491,915.99,0,0.0,0,-950,-24,311,,,
3.508,957.48,0,0.0,0,361,24,376,,,
3.522,912.48,0,0.0,0,-728,-24,335,,,
3.533,895.95,0,0.0,0,253,24,393,,,
3.546,910.19,0,0.0,0,79,-24,430,,,
3.557,932.69,0,0.0,0,259,24,385,,,
3.577,927.24,0,0.0,0,25,-24,421,,,
3.589,956.42,0,0.0,0,220,24,394,,,
3.601,940.95,0,0.0,0,-12,-24,417,,,
3.61,955.89,0,0.0,0,277,24,389,,,
3.622,915.99,0,0.0,0,-463,-24,367,,,
3.635,943.94,0,0.0,0,275,24,387,,,
3.648,896.3,0,0.0,0,-1045,-24,291,,,
3.666,906.85,0,0.0,0,1192,24,294,,,
3.678,868.35,0,0.0,0,-389,-24,376,,,
3.689,902.1,0,0.0,0,491,24,360,,,
3.7,919.86,0,0.0,0,-130,-24,410,,,
3.717,909.49,0,0.0,0,-63,24,424,,,
3.73,891.73,0,0.0,0,-248,-24,390,,,
3.743,898.06,0,0.0,0,194,24,395,,,
3.756,888.75,0,0.0,0,-62,-24,413,,,
3.77,914.58,0,0.0,0,311,24,384,,,
3.777,907.38,0,0.0,0,29,-24,426,,,
3.792,935.6800000000001,0,0.0,0,251,24,388,,,
3.802,912.83,0,0.0,0,-242,-24,396,,,
3.813,958.53,0,0.0,0,402,24,371,,,
3.825,927.77,0,0.0,0,-710,-24,332,,,
3.836,955.54,0,0.0,0,1387,24,253,,,
3.854,956.95,0,0.0,0,-781,-24,327,,,
3.866,989.12,0,0.0,0,297,24,383,,,
3.878,973.47,0,0.0,0,41,-24,427,,,
3.89,1002.65,0,0.0,0,234,24,412,,,
3.903,959.23,0,0.0,0,-578,-24,351,,,
3.915,1012.3199999999999,0,0.0,0,761,24,329,,,
3.919,1040.44,0,0.0,0,200,-24,442,,,
3.932,1053.1,0,0.0,0,230,24,395,,,
3.945,1045.37,0,0.0,0,-690,-24,339,,,
3.953,1053.1,0,0.0,0,316,24,381,,,
3.971,1056.09,0,0.0,0,69,-24,428,,,
3.986,1078.59,0,0.0,0,290,24,383,,,
3.994,1071.38,0,0.0,0,-169,-24,398,,,
4.012,1085.62,0,0.0,0,68,24,413,,,
4.024,1058.9,0,0.0,0,-148,-24,403,,,
4.034,1076.13,0,0.0,0,43,24,417,,,
4.044,1036.05,0,0.0,0,-286,-24,386,,,
4.055,1058.2,0,0.0,0,834,24,317,,,
4.066,1013.2,0,0.0,0,-802,-24,323,,,
4.079,1031.83,0,0.0,0,680,24,334,,,
4.092,1017.5899999999999,0,0.0,0,-1190,-24,282,,,
4.102,1008.45,0,0.0,0,154,24,405,,,
4.12,987.71,0,0.0,0,-145,-24,405,,,
4.149,1010.74,0,0.0,0,84,24,409,,,
